data;temp_max;temp_min;temp;pressure;wet
31.12.1936;-2,8;-15;-8,9;;5
01.01.1937;1,1;-7,8;0,8;;7
02.01.1937;0;-2,8;-1,8;;
03.01.1937;-1,1;-2,8;-1,7;;9
04.01.1937;0;-2,2;-1,1;;7
05.01.1937;0;-5;-2,2;;6
06.01.1937;-2,2;-6,1;-3,1;;7
07.01.1937;-1,1;-2,8;-1,4;;6
08.01.1937;1,1;-1,1;0,3;;7
09.01.1937;1,1;-2,8;-0,2;;2
10.01.1937;-5;-11,1;-7,2;;5
11.01.1937;-10;-16,1;-12,9;;3
12.01.1937;-15;-18,9;-16,5;;3
13.01.1937;-11,1;-17,2;-14;;2
14.01.1937;-8,9;-17,2;-12,5;;3
15.01.1937;-6,1;-10;-7,5;;3
16.01.1937;-7,8;-8,9;-8,1;;3
17.01.1937;-7,2;-18,9;-11,7;;1
18.01.1937;-11,1;-18,9;-13,5;;4
19.01.1937;-10;-13,9;-11,8;;4
20.01.1937;-13,9;-17,8;-15,7;;4
21.01.1937;-12,2;-20;-17,8;;2
22.01.1937;-17,2;-23,9;-18,9;;1
23.01.1937;-17,2;-22,2;-20,1;;1
24.01.1937;-16,1;-22,8;-20,6;;2
25.01.1937;-17,8;-27,2;-22,5;;1
26.01.1937;-12,2;-27,2;-16;;4
27.01.1937;-11,1;-13,9;-12,1;;3
28.01.1937;-13,9;-22,8;-17,1;;3
29.01.1937;-21,1;-27,2;-24,8;;3
30.01.1937;-18,9;-27,8;-22,3;;3
31.01.1937;-7,8;-22,8;-12,1;;3
01.02.1937;-6,1;-12,8;-9;;4
02.02.1937;-10;-16,1;-14,3;;3
03.02.1937;-10;-13,9;-11,2;;7
04.02.1937;-5;-11,1;-6,8;;3
05.02.1937;-3,9;-6,1;-4,4;;3
06.02.1937;2,2;-5;1,1;;5
07.02.1937;2,2;;1,1;;7
08.02.1937;1,1;-10;-5;;8
09.02.1937;-7,8;-12,2;-9,2;;7
10.02.1937;2,8;-12,8;-6,7;;6
11.02.1937;-7,2;-17,2;-11,8;;1
12.02.1937;-7,8;-12,8;-10,7;;6
13.02.1937;-7,2;-11,1;-8,2;;7
14.02.1937;-2,2;-7,2;-3,2;;12
15.02.1937;-6,1;-10;-8,2;;6
16.02.1937;-6,1;-10;-6,8;;4
17.02.1937;-2,2;-8,9;-5,7;;2
18.02.1937;-5;-8,9;-6,5;;4
19.02.1937;-3,9;-10;-6,5;;6
20.02.1937;-7,8;-12,2;-10,6;;9
21.02.1937;-6,1;-12,2;-8,1;;6
22.02.1937;-3,9;-8,9;-6;;4
23.02.1937;-2,8;-8,9;-5,7;;5
24.02.1937;2,8;-2,8;0,4;;6
25.02.1937;-2,8;-6,1;-4,2;;8
26.02.1937;-6,1;-12,2;-8,3;;5
27.02.1937;-7,2;-16,1;-11;;
28.02.1937;-5;-12,2;-9,8;;1
01.03.1937;-2,2;-17,8;-9,7;;1
02.03.1937;-2,2;-18,9;-9,8;;0
03.03.1937;-2,2;-12,2;-7,3;;1
04.03.1937;-2,2;-21,1;-11,4;;0
05.03.1937;-3,9;-16,1;-10,4;;1
06.03.1937;-5;-13,9;-9,2;;4
07.03.1937;-1,1;-7,8;-3,1;;3
08.03.1937;1,1;-7,2;-2,8;;2
09.03.1937;2,8;-3,9;0,3;;2
10.03.1937;2,2;-3,9;-0,7;;1
12.03.1937;1,1;-3,9;-1,5;;1
13.03.1937;1,1;-2,8;-1,5;;3
14.03.1937;2,8;-2,8;-0,3;;6
15.03.1937;2,2;-1,1;0,8;;7
17.03.1937;1,1;-2,2;-0,3;;2
18.03.1937;2,2;0;0,8;;1
19.03.1937;2,2;0;1,1;;1
20.03.1937;2,2;0;1,7;;1
21.03.1937;2,8;0;1,5;;3
22.03.1937;2,2;0;1,9;;9
23.03.1937;2,8;1,1;2,2;;5
24.03.1937;7,2;2,2;4,2;;4
25.03.1937;6,1;3,9;4,2;;5
26.03.1937;5;2,8;3,3;;3
27.03.1937;3,9;2,2;2,9;;4
28.03.1937;8,9;1,1;4,2;;4
29.03.1937;6,1;1,1;3,2;;3
31.03.1937;2,2;-2,2;-0,6;;5
01.04.1937;7,2;-2,2;2,2;;4
02.04.1937;3,9;-2,2;1;;
03.04.1937;6,1;-3,9;1,7;;2
04.04.1937;6,1;-1,1;3,3;;1
05.04.1937;5;-2,2;1,7;;2
06.04.1937;7,2;-2,8;1,9;;2
07.04.1937;7,8;-2,8;3,1;;
09.04.1937;12,2;-1,1;4,6;;0
10.04.1937;12,2;-1,1;5,4;;2
11.04.1937;11,1;1,1;5,3;;1
12.04.1937;12,2;-1,1;6,9;;1
13.04.1937;12,2;2,2;6,1;;2
14.04.1937;12,8;2,2;8,1;;2
15.04.1937;13,9;5;9,3;;2
16.04.1937;12,8;6,1;9,7;;2
17.04.1937;12,2;6,1;9,2;;7
18.04.1937;13,9;6,1;10,3;;5
19.04.1937;16,1;7,2;12,1;;5
20.04.1937;18,9;8,9;14;;3
21.04.1937;13,9;7,8;11,4;;3
22.04.1937;21,1;7,8;15;;4
23.04.1937;17,2;10;12,3;;6
24.04.1937;18,9;11,1;14,6;;5
25.04.1937;21,1;12,2;16,1;;4
26.04.1937;16,1;10;12,5;;2
27.04.1937;11,1;7,2;10,1;;4
28.04.1937;20;5;12,4;;2
29.04.1937;12,8;6,1;9,3;;2
28.05.1937;26,1;11,1;16,8;;6
31.05.1937;13,9;1,1;9,2;;2
01.06.1937;18,9;5;15;;6
02.06.1937;20;11,1;14,7;;4
03.06.1937;15;7,2;11,4;;7
04.06.1937;12,8;6,1;9,4;;6
05.06.1937;17,2;8,9;11,7;;4
06.06.1937;16,1;7,8;12,1;;4
07.06.1937;17,8;7,8;14;;4
08.06.1937;22,2;8,9;18,1;;3
09.06.1937;26,1;12,2;20,7;;3
10.06.1937;27,2;12,8;23,2;;1
11.06.1937;28,9;16,1;24,2;;2
12.06.1937;31,1;17,2;23,6;;2
13.06.1937;23,9;11,1;16,9;;5
14.06.1937;16,1;8,9;11,9;;7
15.06.1937;17,2;7,2;12,8;;7
16.06.1937;20;7,8;14,7;;5
17.06.1937;21,1;8,9;17,3;;2
18.06.1937;22,8;7,8;19;;3
19.06.1937;25;10;20,3;;2
20.06.1937;23,9;13,9;19,2;;3
21.06.1937;25;12,2;19,7;;3
22.06.1937;27,2;13,9;21,2;;2
23.06.1937;27,8;16,1;23,1;;1
24.06.1937;27,2;13,9;22,6;;1
25.06.1937;31,1;16,1;24;;2
26.06.1937;31,1;17,2;25,1;;4
27.06.1937;27,8;17,2;23,3;;3
28.06.1937;30;15;24;;3
29.06.1937;32,2;16,1;25;;3
30.06.1937;32,2;20;24;;5
01.07.1937;28,9;18,9;24,7;;4
02.07.1937;31,1;17,2;22,9;;3
03.07.1937;23,9;13,9;19;;4
04.07.1937;21,1;11,1;15,3;;3
05.07.1937;16,1;10;12,5;;4
06.07.1937;16,1;10;13,2;;4
07.07.1937;17,8;12,2;14,3;;5
08.07.1937;18,9;11,1;16;;4
09.07.1937;23,9;13,9;18,3;;3
10.07.1937;21,1;13,9;16,9;;3
11.07.1937;22,2;12,8;18,3;;3
12.07.1937;23,9;12,8;18,6;;2
13.07.1937;22,8;13,9;19,3;;4
14.07.1937;22,8;13,9;17,8;;3
15.07.1937;18,9;12,8;14,6;;3
16.07.1937;20;12,2;15,8;;3
17.07.1937;17,2;12,2;14,2;;5
18.07.1937;21,1;13,9;16;;2
19.07.1937;22,2;12,8;18,6;;3
20.07.1937;26,1;13,9;20,7;;1
21.07.1937;27,2;13,9;22,8;;1
22.07.1937;27,8;16,1;21,7;;2
24.07.1937;18,9;13,9;16,1;;4
25.07.1937;18,9;13,9;15,7;;3
26.07.1937;26,1;13,9;20,4;;2
27.07.1937;25;17,8;20,7;;2
28.07.1937;25;15;19;;3
29.07.1937;22,8;12,8;17,9;;2
30.07.1937;22,8;13,9;19,2;;2
31.07.1937;23,9;15;18,6;;2
01.08.1937;26,1;13,9;20;;1
02.08.1937;25;12,8;19,3;;2
03.08.1937;22,2;15;18,6;;4
04.08.1937;22,2;12,8;17,9;;4
05.08.1937;23,9;12,2;19,3;;4
06.08.1937;27,2;13,9;21,9;;3
07.08.1937;27,2;15;21,7;;2
08.08.1937;23,9;15;20;;3
09.08.1937;25;15;19,8;;6
10.08.1937;27,2;16,1;21,7;;4
11.08.1937;27,2;17,8;22,5;;3
12.08.1937;27,2;17,2;22,8;;2
13.08.1937;26,1;17,2;21,9;;3
14.08.1937;26,1;16,1;21,2;;2
15.08.1937;26,1;16,1;22,2;;1
16.08.1937;27,8;17,8;22,8;;3
17.08.1937;23,9;13,9;18,9;;2
18.08.1937;22,8;12,8;17,5;;3
19.08.1937;21,1;15;17,8;;4
20.08.1937;17,2;12,8;16,4;;4
21.08.1937;;;16,1;;4
22.08.1937;17,2;13,9;16,4;;4
23.08.1937;22,2;16,1;17,5;;2
24.08.1937;22,2;15;18,6;;3
25.08.1937;21,1;12,2;16,5;;3
26.08.1937;20;10;14,3;;3
27.08.1937;17,8;7,2;13,1;;3
28.08.1937;17,2;7,2;13,6;;3
29.08.1937;20;10;15,4;;4
30.08.1937;22,2;10;16,4;;2
31.08.1937;22,8;10;16,5;;2
01.09.1937;22,8;13,9;17,1;;2
02.09.1937;17,2;7,8;12,5;;3
03.09.1937;20;7,8;14,8;;4
04.09.1937;17,8;7,8;13,3;;3
05.09.1937;16,1;7,8;12,3;;2
07.09.1937;15;0;12,7;;2
08.09.1937;20;11,1;14,7;;3
09.09.1937;17,8;7,8;12,4;;2
10.09.1937;20;6,1;14;;3
11.09.1937;13,9;11,1;12,1;;1
12.09.1937;20;8,9;15,3;;1
13.09.1937;23,9;13,9;18,5;;4
14.09.1937;26,1;12,2;18,1;;5
15.09.1937;17,8;8,9;13,1;;3
16.09.1937;17,8;10;14,3;;3
17.09.1937;20;12,8;15,4;;1
18.09.1937;22,2;10;16,2;;2
19.09.1937;25;12,2;17,9;;3
20.09.1937;25;15;19,6;;2
21.09.1937;26,1;12,8;20;;3
22.09.1937;21,1;7,8;14,4;;2
23.09.1937;18,9;7,2;12,4;;2
24.09.1937;17,8;6,1;12,7;;1
25.09.1937;20;10;14,6;;2
26.09.1937;17,8;11,1;13,2;;2
27.09.1937;15;7,2;10;;2
28.09.1937;13,9;3,9;9;;3
29.09.1937;12,2;3,9;7,2;;2
30.09.1937;12,2;3,9;7,5;;3
01.10.1937;7,2;5;6,4;;2
02.10.1937;7,8;5;6,7;;3
03.10.1937;12,2;6,1;9;;3
05.10.1937;12,8;7,8;9,7;;1
06.10.1937;17,2;6,1;9,6;;2
07.10.1937;15;3,9;8,5;;3
08.10.1937;12,8;3,9;8,5;;3
09.10.1937;12,2;5;8,1;;4
10.10.1937;11,1;5;8,5;;2
11.10.1937;12,2;7,2;9,3;;2
12.10.1937;6,1;2,2;3,8;;5
13.10.1937;5;0;1,5;;4
14.10.1937;2,8;-1,1;1,1;;4
15.10.1937;3,9;-3,9;-0,3;;2
16.10.1937;3,9;-6,1;-0,8;;2
17.10.1937;5;-1,1;2,7;;7
18.10.1937;8,9;2,2;7,1;;11
19.10.1937;10;2,8;6,9;;7
20.10.1937;7,2;0;2,2;;3
21.10.1937;7,8;0;5,4;;3
22.10.1937;12,2;2,8;6,8;;4
23.10.1937;13,9;2,2;6,7;;2
24.10.1937;8,9;2,2;5,8;;5
25.10.1937;12,2;6,1;8,5;;5
26.10.1937;10;7,2;7,9;;3
27.10.1937;8,9;7,8;8,3;;2
28.10.1937;11,1;2,2;6,7;;2
29.10.1937;7,2;-1,1;2,8;;0
30.10.1937;6,1;-2,2;1;;0
31.10.1937;7,8;-1,1;4,6;;1
01.11.1937;7,2;5;6,4;;1
02.11.1937;7,2;1,1;4,8;;2
03.11.1937;6,1;0;3,8;;3
04.11.1937;6,1;-2,2;3,8;;5
05.11.1937;2,2;-3,9;0,7;;3
06.11.1937;5;2,2;3,6;;5
07.11.1937;6,1;3,9;5;;6
08.11.1937;2,8;0;1,8;;3
09.11.1937;7,2;-2,2;1,9;;3
10.11.1937;2,8;-1,1;1,4;;2
11.11.1937;5;2,2;4,2;;1
12.11.1937;7,2;3,9;6,4;;6
13.11.1937;2,2;0;1,1;;10
14.11.1937;2,2;0;0,6;;4
15.11.1937;-1,1;-5;-1,9;;2
16.11.1937;1,1;-1,1;0,6;;5
17.11.1937;0;-1,1;-0,6;;5
18.11.1937;0;-2,8;-1,8;;3
19.11.1937;0;-2,8;-1,1;;
20.11.1937;-2,8;-6,1;-4,4;;3
21.11.1937;-2,2;-7,8;-4,4;;4
22.11.1937;-2,8;-3,9;-3,1;;5
23.11.1937;-2,2;-3,9;-2,5;;1
24.11.1937;-2,2;-3,9;-2,9;;1
